member_id,client_id,plan_tier
M000384,CL0032,Silver
M000385,CL0038,Silver
M000386,CL0003,Silver
M000387,CL0013,Bronze
M000388,CL0033,Bronze
M000389,CL0016,Silver
M000390,CL0036,Bronze
M000391,CL0023,Bronze
M000392,CL0043,Gold
M000393,CL0043,Bronze
M000394,CL0032,Bronze
M000395,CL0040,Gold
M000396,CL0019,Gold
M000397,CL0032,Silver
M000398,CL0016,Gold
M000399,CL0043,Bronze
M000400,CL0043,Silver
M000401,CL0045,Gold
M000402,CL0043,Silver
M000403,CL0050,Bronze
M000404,CL0016,Silver
M000405,CL0050,Silver
M000406,CL0033,Gold
M000407,CL0031,Silver
M000408,CL0033,Bronze
M000409,CL0020,Silver
M000410,CL0019,Bronze
M000411,CL0016,Bronze
M000412,CL0011,Bronze
M000413,CL0032,Silver
M000414,CL0043,Silver
M000415,CL0033,Silver
M000416,CL0032,Bronze
M000417,CL0031,Silver
M000418,CL0032,Silver
M000419,CL0016,Silver
M000420,CL0043,Gold
M000421,CL0016,Gold
M000422,CL0037,Bronze
M000423,CL0040,Gold
M000424,CL0033,Gold
M000425,CL0043,Silver
M000426,CL0019,Gold
M000427,CL0043,Silver
M000428,CL0037,Gold
M000429,CL0041,Silver
M000430,CL0036,Gold
M000431,CL0043,Bronze
M000432,CL0050,Silver
M000433,CL0031,Bronze
M000434,CL0042,Gold
M000435,CL0038,Bronze
M000436,CL0032,Silver
M000437,CL0048,Gold
M000438,CL0030,Silver
M000439,CL0033,Silver
M000440,CL0012,Silver
M000441,CL0016,Silver
M000442,CL0043,Gold
M000443,CL0030,Gold
M000444,CL0030,Silver
M000445,CL0016,Silver
M000446,CL0032,Silver
M000447,CL0042,Gold
M000448,CL0044,Silver
M000449,CL0010,Silver
M000450,CL0033,Silver
M000451,CL0032,Bronze
M000452,CL0033,Gold
M000453,CL0032,Bronze
M000454,CL0031,Bronze
M000455,CL0032,Silver
M000456,CL0033,Silver
M000457,CL0032,Silver
M000458,CL0032,Bronze
M000459,CL0042,Bronze
M000460,CL0038,Bronze
M000461,CL0020,Silver
M000462,CL0042,Gold
M000463,CL0043,Gold
M000464,CL0013,Silver
M000465,CL0033,Silver
M000466,CL0019,Silver
M000467,CL0037,Gold
M000468,CL0016,Silver
M000469,CL0037,Bronze
M000470,CL0016,Bronze
M000471,CL0032,Silver
M000472,CL0050,Silver
M000473,CL0028,Gold
M000474,CL0043,Bronze
M000475,CL0050,Gold
M000476,CL0043,Gold
M000477,CL0015,Silver
M000478,CL0043,Bronze
M000479,CL0003,Bronze
M000480,CL0030,Silver
M000481,CL0043,Bronze
M000482,CL0037,Gold
M000483,CL0032,Gold
M000484,CL0030,Gold
M000485,CL0042,Silver
M000486,CL0037,Bronze
M000487,CL0032,Silver
M000488,CL0043,Silver
M000489,CL0016,Bronze
M000490,CL0015,Bronze
M000491,CL0033,Silver
M000492,CL0050,Silver
M000493,CL0016,Bronze
M000494,CL0016,Silver
M000495,CL0013,Gold
M000496,CL0043,Silver
M000497,CL0016,Bronze
M000498,CL0032,Silver
M000499,CL0050,Silver
M000500,CL0001,Gold
M000501,CL0033,Silver
M000502,CL0032,Bronze
M000503,CL0042,Bronze
M000504,CL0024,Bronze
M000505,CL0031,Silver
M000506,CL0015,Bronze
M000507,CL0037,Gold
M000508,CL0040,Silver
M000509,CL0013,Silver
M000510,CL0030,Bronze
M000511,CL0043,Bronze
M000512,CL0001,Silver
M000513,CL0019,Silver
M000514,CL0033,Silver
M000515,CL0020,Silver
M000516,CL0019,Gold
M000517,CL0032,Silver
M000518,CL0015,Bronze
M000519,CL0032,Bronze
M000520,CL0037,Gold
M000521,CL0033,Bronze
M000522,CL0012,Bronze
M000523,CL0043,Gold
M000524,CL0015,Bronze
M000525,CL0040,Silver
M000526,CL0025,Bronze
M000527,CL0040,Silver
M000528,CL0016,Bronze
M000529,CL0015,Gold
M000530,CL0032,Bronze
M000531,CL0003,Silver
M000532,CL0016,Gold
M000533,CL0037,Silver
M000534,CL0043,Silver
M000535,CL0011,Silver
M000536,CL0043,Silver
M000537,CL0041,Gold
M000538,CL0043,Silver
M000539,CL0037,Silver
M000540,CL0037,Silver
M000541,CL0032,Silver
M000542,CL0033,Gold
M000543,CL0048,Bronze
M000544,CL0012,Silver
M000545,CL0020,Bronze
M000546,CL0010,Silver
M000547,CL0050,Gold
M000548,CL0032,Silver
M000549,CL0037,Gold
M000550,CL0043,Gold
M000551,CL0050,Gold
M000552,CL0014,Silver
M000553,CL0041,Bronze
M000554,CL0043,Silver
M000555,CL0010,Gold
M000556,CL0040,Silver
M000557,CL0024,Silver
M000558,CL0033,Silver
M000559,CL0032,Bronze
M000560,CL0016,Silver
M000561,CL0013,Silver
M000562,CL0013,Gold
M000563,CL0012,Silver
M000564,CL0033,Bronze
M000565,CL0023,Silver
M000566,CL0016,Silver
M000567,CL0037,Silver
M000568,CL0037,Gold
M000569,CL0032,Silver
M000570,CL0050,Silver
M000571,CL0030,Silver
M000572,CL0043,Silver
M000573,CL0011,Gold
M000574,CL0037,Bronze
M000575,CL0050,Bronze
M000576,CL0043,Bronze
M000577,CL0033,Gold
M000578,CL0033,Gold
M000579,CL0024,Gold
M000580,CL0037,Bronze
M000581,CL0040,Gold
M000582,CL0050,Gold
M000583,CL0032,Bronze
M000584,CL0010,Silver
M000585,CL0033,Gold
M000586,CL0013,Silver
M000587,CL0016,Gold
M000588,CL0020,Silver
M000589,CL0037,Silver
M000590,CL0015,Bronze
M000591,CL0015,Bronze
M000592,CL0008,Silver
M000593,CL0043,Silver
M000594,CL0037,Silver
M000595,CL0007,Gold
M000596,CL0003,Bronze
M000597,CL0033,Silver
M000598,CL0019,Gold
M000599,CL0033,Gold
M000600,CL0032,Gold
M000601,CL0048,Silver
M000602,CL0019,Bronze
M000603,CL0037,Gold
M000604,CL0010,Gold
M000605,CL0050,Silver
M000606,CL0050,Silver
M000607,CL0037,Silver
M000608,CL0032,Silver
M000609,CL0016,Gold
M000610,CL0042,Bronze
M000611,CL0037,Bronze
M000612,CL0016,Silver
M000613,CL0032,Gold
M000614,CL0032,Gold
M000615,CL0043,Bronze
M000616,CL0037,Silver
M000617,CL0033,Silver
M000618,CL0033,Bronze
M000619,CL0019,Gold
M000620,CL0027,Silver
M000621,CL0008,Gold
M000622,CL0040,Silver
M000623,CL0031,Gold
M000624,CL0032,Bronze
M000625,CL0016,Silver
M000626,CL0016,Silver
M000627,CL0033,Bronze
M000628,CL0016,Silver
M000629,CL0010,Gold
M000630,CL0040,Silver
M000631,CL0027,Gold
M000632,CL0027,Bronze
M000633,CL0031,Bronze
M000634,CL0042,Bronze
M000635,CL0020,Gold
M000636,CL0040,Bronze
M000637,CL0050,Bronze
M000638,CL0036,Bronze
M000639,CL0031,Silver
M000640,CL0038,Silver
M000641,CL0032,Silver
M000642,CL0031,Gold
M000643,CL0032,Silver
M000644,CL0020,Bronze
M000645,CL0012,Silver
M000646,CL0031,Bronze
M000647,CL0013,Bronze
M000648,CL0031,Gold
M000649,CL0033,Bronze
M000650,CL0050,Gold
M000651,CL0005,Silver
M000652,CL0033,Gold
M000653,CL0032,Silver
M000654,CL0001,Silver
M000655,CL0016,Silver
M000656,CL0013,Gold
M000657,CL0016,Silver
M000658,CL0019,Silver
M000659,CL0031,Silver
M000660,CL0032,Bronze
M000661,CL0001,Bronze
M000662,CL0014,Gold
M000663,CL0012,Silver
M000664,CL0033,Silver
M000665,CL0020,Silver
M000666,CL0033,Bronze
M000667,CL0016,Bronze
M000668,CL0003,Silver
M000669,CL0050,Silver
M000670,CL0012,Silver
M000671,CL0013,Silver
M000672,CL0013,Silver
M000673,CL0050,Silver
M000674,CL0033,Silver
M000675,CL0033,Silver
M000676,CL0050,Bronze
M000677,CL0012,Bronze
M000678,CL0050,Gold
M000679,CL0016,Silver
M000680,CL0033,Gold
M000681,CL0031,Silver
M000682,CL0029,Silver
M000683,CL0050,Gold
M000684,CL0013,Bronze
M000685,CL0050,Bronze
M000686,CL0027,Silver
M000687,CL0033,Silver
M000688,CL0050,Bronze
M000689,CL0010,Silver
M000690,CL0048,Gold
M000691,CL0033,Gold
M000692,CL0037,Gold
M000693,CL0013,Bronze
M000694,CL0032,Gold
M000695,CL0037,Gold
M000696,CL0032,Bronze
M000697,CL0013,Bronze
M000698,CL0016,Bronze
M000699,CL0043,Gold
M000700,CL0003,Silver
M000701,CL0037,Bronze
M000702,CL0050,Bronze
M000703,CL0001,Gold
M000704,CL0014,Silver
M000705,CL0037,Gold
M000706,CL0010,Bronze
M000707,CL0033,Gold
M000708,CL0037,Bronze
M000709,CL0033,Silver
M000710,CL0026,Gold
M000711,CL0037,Silver
M000712,CL0033,Silver
M000713,CL0016,Silver
M000714,CL0033,Silver
M000715,CL0043,Silver
M000716,CL0036,Silver
M000717,CL0032,Bronze
M000718,CL0020,Gold
M000719,CL0012,Gold
M000720,CL0016,Gold
M000721,CL0001,Gold
M000722,CL0050,Silver
M000723,CL0016,Bronze
M000724,CL0042,Bronze
M000725,CL0015,Gold
M000726,CL0019,Silver
M000727,CL0031,Bronze
M000728,CL0020,Bronze
M000729,CL0041,Gold
M000730,CL0050,Bronze
M000731,CL0043,Silver
M000732,CL0013,Silver
M000733,CL0040,Silver
M000734,CL0013,Bronze
M000735,CL0046,Silver
M000736,CL0032,Silver
M000737,CL0020,Bronze
M000738,CL0014,Silver
M000739,CL0001,Gold
M000740,CL0016,Gold
M000741,CL0046,Bronze
M000742,CL0041,Bronze
M000743,CL0050,Silver
M000744,CL0012,Bronze
M000745,CL0033,Bronze
M000746,CL0016,Bronze
M000747,CL0032,Bronze
M000748,CL0020,Silver
M000749,CL0019,Bronze
M000750,CL0033,Bronze
M000751,CL0015,Bronze
M000752,CL0032,Silver
M000753,CL0033,Silver
M000754,CL0013,Bronze
M000755,CL0050,Silver
M000756,CL0032,Bronze
M000757,CL0043,Gold
M000758,CL0034,Silver
M000759,CL0037,Silver
M000760,CL0037,Silver
M000761,CL0043,Silver
M000762,CL0033,Silver
M000763,CL0019,Silver
M000764,CL0012,Silver
M000765,CL0033,Silver
M000766,CL0010,Bronze
M000767,CL0016,Silver
M000768,CL0010,Silver
M000769,CL0033,Bronze
M000770,CL0014,Gold
M000771,CL0033,Bronze
M000772,CL0041,Bronze
M000773,CL0043,Silver
M000774,CL0020,Gold
M000775,CL0033,Silver
M000776,CL0033,Silver
M000777,CL0032,Bronze
M000778,CL0035,Gold
M000779,CL0016,Silver
M000780,CL0050,Bronze
M000781,CL0012,Silver
M000782,CL0043,Bronze
M000783,CL0033,Silver
M000784,CL0016,Silver
M000785,CL0038,Silver
M000786,CL0011,Gold
M000787,CL0040,Silver
M000788,CL0033,Silver
M000789,CL0012,Silver
M000790,CL0011,Bronze
M000791,CL0038,Silver
M000792,CL0019,Gold
M000793,CL0043,Silver
M000794,CL0040,Silver
M000795,CL0037,Silver
M000796,CL0019,Gold
M000797,CL0037,Bronze
M000798,CL0050,Bronze
M000799,CL0012,Silver
M000800,CL0020,Bronze
M000801,CL0016,Gold
M000802,CL0030,Silver
M000803,CL0038,Bronze
M000804,CL0032,Gold
M000805,CL0033,Bronze
M000806,CL0020,Silver
M000807,CL0013,Silver
M000808,CL0016,Gold
M000809,CL0043,Bronze
M000810,CL0033,Silver
M000811,CL0027,Gold
M000812,CL0041,Silver
M000813,CL0010,Bronze
M000814,CL0016,Bronze
M000815,CL0016,Silver
M000816,CL0050,Silver
M000817,CL0037,Silver
M000818,CL0033,Silver
M000819,CL0001,Silver
M000820,CL0015,Silver
M000821,CL0033,Silver
M000822,CL0027,Bronze
M000823,CL0048,Silver
M000824,CL0040,Gold
M000825,CL0032,Gold
M000826,CL0038,Bronze
M000827,CL0050,Bronze
M000828,CL0032,Silver
M000829,CL0033,Silver
M000830,CL0047,Silver
M000831,CL0016,Bronze
M000832,CL0043,Silver
M000833,CL0012,Bronze
M000834,CL0033,Bronze
M000835,CL0040,Silver
M000836,CL0033,Gold
M000837,CL0032,Gold
M000838,CL0033,Bronze
M000839,CL0013,Bronze
M000840,CL0016,Bronze
M000841,CL0019,Gold
M000842,CL0033,Bronze
M000843,CL0032,Gold
M000844,CL0016,Silver
M000845,CL0043,Gold
M000846,CL0027,Bronze
M000847,CL0032,Silver
M000848,CL0031,Bronze
M000849,CL0015,Silver
M000850,CL0037,Silver
M000851,CL0032,Gold
M000852,CL0001,Silver
M000853,CL0050,Gold
M000854,CL0042,Silver
M000855,CL0037,Silver
M000856,CL0043,Bronze
M000857,CL0045,Bronze
M000858,CL0020,Bronze
M000859,CL0033,Bronze
M000860,CL0033,Bronze
M000861,CL0016,Bronze
M000862,CL0016,Bronze
M000863,CL0013,Silver
M000864,CL0036,Silver
M000865,CL0040,Gold
M000866,CL0040,Silver
M000867,CL0020,Bronze
M000868,CL0016,Gold
M000869,CL0032,Gold
M000870,CL0033,Silver
M000871,CL0048,Bronze
M000872,CL0043,Gold
M000873,CL0046,Gold
M000874,CL0043,Gold
M000875,CL0050,Silver
M000876,CL0032,Bronze
M000877,CL0010,Silver
M000878,CL0011,Silver
M000879,CL0030,Bronze
M000880,CL0016,Bronze
M000881,CL0015,Gold
M000882,CL0050,Bronze
M000883,CL0015,Bronze
M000884,CL0050,Silver
M000885,CL0040,Gold
M000886,CL0033,Gold
M000887,CL0037,Bronze
M000888,CL0020,Silver
M000889,CL0033,Gold
M000890,CL0015,Silver
M000891,CL0050,Bronze
M000892,CL0020,Silver
M000893,CL0016,Silver
M000894,CL0037,Silver
M000895,CL0036,Silver
M000896,CL0032,Bronze
M000897,CL0033,Gold
M000898,CL0014,Silver
M000899,CL0037,Bronze
M000900,CL0019,Silver
M000901,CL0019,Silver
M000902,CL0014,Silver
M000903,CL0020,Gold
M000904,CL0020,Gold
M000905,CL0032,Silver
M000906,CL0015,Silver
M000907,CL0015,Silver
M000908,CL0032,Silver
M000909,CL0013,Silver
M000910,CL0037,Silver
M000911,CL0050,Gold
M000912,CL0031,Silver
M000913,CL0045,Bronze
M000914,CL0012,Gold
M000915,CL0008,Gold
M000916,CL0037,Bronze
M000917,CL0040,Gold
M000918,CL0043,Silver
M000919,CL0010,Bronze
M000920,CL0040,Silver
M000921,CL0027,Bronze
M000922,CL0020,Silver
M000923,CL0015,Gold
M000924,CL0050,Silver
M000925,CL0010,Silver
M000926,CL0043,Bronze
M000927,CL0033,Silver
M000928,CL0037,Silver
M000929,CL0037,Gold
M000930,CL0043,Gold
M000931,CL0015,Silver
M000932,CL0001,Silver
M000933,CL0033,Silver
M000934,CL0024,Silver
M000935,CL0013,Bronze
M000936,CL0015,Silver
M000937,CL0020,Silver
M000938,CL0010,Silver
M000939,CL0010,Bronze
M000940,CL0046,Silver
M000941,CL0020,Gold
M000942,CL0050,Gold
M000943,CL0050,Silver
M000944,CL0013,Gold
M000945,CL0037,Gold
M000946,CL0033,Gold
M000947,CL0037,Gold
M000948,CL0012,Silver
M000949,CL0015,Gold
M000950,CL0011,Bronze
M000951,CL0033,Silver
M000952,CL0050,Gold
M000953,CL0037,Bronze
M000954,CL0037,Bronze
M000955,CL0050,Silver
M000956,CL0037,Silver
M000957,CL0008,Silver
M000958,CL0043,Silver
M000959,CL0026,Bronze
M000960,CL0001,Gold
M000961,CL0032,Bronze
M000962,CL0050,Gold
M000963,CL0016,Silver
M000964,CL0032,Bronze
M000965,CL0015,Silver
M000966,CL0010,Silver
M000967,CL0011,Gold
M000968,CL0037,Silver
M000969,CL0043,Gold
M000970,CL0013,Silver
M000971,CL0019,Bronze
M000972,CL0015,Silver
M000973,CL0003,Silver
M000974,CL0033,Bronze
M000975,CL0037,Bronze
M000976,CL0033,Silver
M000977,CL0030,Silver
M000978,CL0033,Gold
M000979,CL0012,Bronze
M000980,CL0013,Silver
M000981,CL0050,Silver
M000982,CL0040,Gold
M000983,CL0048,Bronze
M000984,CL0046,Bronze
M000985,CL0033,Bronze
M000986,CL0049,Gold
M000987,CL0031,Bronze
M000988,CL0001,Gold
M000989,CL0010,Silver
M000990,CL0012,Gold
M000991,CL0012,Silver
M000992,CL0023,Silver
M000993,CL0037,Gold
M000994,CL0041,Bronze
M000995,CL0033,Silver
M000996,CL0013,Gold
M000997,CL0038,Bronze
M000998,CL0024,Gold
M000999,CL0001,Bronze
M001000,CL0019,Bronze
M001001,CL0020,Bronze
M001002,CL0019,Silver
M001003,CL0042,Bronze
M001004,CL0040,Silver
M001005,CL0037,Silver
M001006,CL0013,Bronze
M001007,CL0042,Bronze
M001008,CL0037,Bronze
M001009,CL0015,Bronze
M001010,CL0033,Silver
M001011,CL0032,Silver
M001012,CL0032,Gold
M001013,CL0012,Silver
M001014,CL0032,Gold
M001015,CL0012,Gold
M001016,CL0015,Gold
M001017,CL0013,Bronze
M001018,CL0050,Bronze
M001019,CL0019,Silver
M001020,CL0024,Silver
M001021,CL0020,Gold
M001022,CL0045,Silver
M001023,CL0033,Gold
M001024,CL0048,Bronze
M001025,CL0019,Silver
M001026,CL0013,Silver
M001027,CL0033,Bronze
M001028,CL0020,Gold
M001029,CL0042,Silver
M001030,CL0043,Bronze
M001031,CL0032,Silver
M001032,CL0050,Silver
M001033,CL0033,Silver
M001034,CL0019,Silver
M001035,CL0032,Silver
M001036,CL0005,Bronze
M001037,CL0042,Silver
M001038,CL0012,Bronze
M001039,CL0020,Silver
M001040,CL0033,Bronze
M001041,CL0008,Silver
M001042,CL0011,Gold
M001043,CL0037,Gold
M001044,CL0010,Silver
M001045,CL0032,Silver
M001046,CL0020,Gold
M001047,CL0016,Silver
M001048,CL0015,Silver
M001049,CL0040,Bronze
M001050,CL0050,Bronze
