ndc_code,drug_name,drug_tier,requires_pa,base_awp
92182-817-87,Drug_0087,1,False,35.63
32205-796-88,Drug_0088,3,True,881.7
76286-360-89,Drug_0089,1,False,35.55
71016-327-90,Drug_0090,1,False,11.73
57077-816-91,Drug_0091,2,False,56.5
26967-402-92,Drug_0092,3,False,642.06
81570-507-93,Drug_0093,1,False,15.12
96455-107-94,Drug_0094,1,False,30.72
74964-831-95,Drug_0095,3,True,574.82
92606-240-96,Drug_0096,4,True,4811.45
98575-452-97,Drug_0097,2,False,129.43
41684-419-98,Drug_0098,1,False,29.87
67439-692-99,Drug_0099,1,False,5.93
52653-163-100,Drug_0100,1,False,6.73
98795-299-101,Drug_0101,1,False,26.05
18442-637-102,Drug_0102,2,False,88.34
47113-653-103,Drug_0103,1,False,14.11
88797-187-104,Drug_0104,2,False,80.24
35564-564-105,Drug_0105,2,False,120.95
80900-639-106,Drug_0106,2,False,129.19
44450-648-107,Drug_0107,1,False,24.64
98197-531-108,Drug_0108,3,False,439.03
89516-801-109,Drug_0109,2,False,62.48
37118-324-110,Drug_0110,2,False,92.63
79316-286-111,Drug_0111,1,False,16.02
40316-311-112,Drug_0112,1,False,24.74
64572-364-113,Drug_0113,3,False,657.49
69262-940-114,Drug_0114,1,False,7.31
84662-952-115,Drug_0115,1,False,5.04
12200-509-116,Drug_0116,2,False,55.47
29813-925-117,Drug_0117,2,True,137.34
74071-387-118,Drug_0118,4,False,5488.66
60716-644-119,Drug_0119,1,False,11.02
54603-526-120,Drug_0120,3,True,817.7
14968-506-121,Drug_0121,1,False,21.45
41344-835-122,Drug_0122,2,True,87.13
87858-774-123,Drug_0123,2,False,142.27
12780-856-124,Drug_0124,1,False,7.08
45678-474-125,Drug_0125,1,False,12.53
95062-879-126,Drug_0126,1,False,25.5
14579-423-127,Drug_0127,4,True,2287.95
77472-584-128,Drug_0128,2,False,111.54
33184-571-129,Drug_0129,4,True,2420.06
87993-300-130,Drug_0130,3,False,224.37
77145-760-131,Drug_0131,2,False,54.84
89712-367-132,Drug_0132,3,True,467.05
29433-592-133,Drug_0133,1,False,11.16
57815-468-134,Drug_0134,1,False,9.71
80133-818-135,Drug_0135,3,True,795.21
32112-815-136,Drug_0136,3,True,390.3
30766-466-137,Drug_0137,1,False,17.63
12446-406-138,Drug_0138,2,True,36.63
96265-497-139,Drug_0139,2,False,72.88
73900-197-140,Drug_0140,3,False,348.61
67199-434-141,Drug_0141,2,False,103.26
76958-934-142,Drug_0142,1,False,12.19
57844-192-143,Drug_0143,1,False,36.09
52851-210-144,Drug_0144,1,False,37.54
50457-154-145,Drug_0145,2,False,41.98
67638-379-146,Drug_0146,3,True,230.55
28137-115-147,Drug_0147,2,False,43.84
89924-852-148,Drug_0148,1,False,26.68
83056-152-149,Drug_0149,1,False,9.27
41460-973-150,Drug_0150,2,False,132.29
62074-215-151,Drug_0151,3,True,715.7
22692-336-152,Drug_0152,1,False,33.69
97510-252-153,Drug_0153,1,False,23.41
91259-709-154,Drug_0154,2,False,149.6
92969-842-155,Drug_0155,1,False,6.55
39894-844-156,Drug_0156,3,True,450.95
25221-361-157,Drug_0157,1,False,16.34
29059-219-158,Drug_0158,1,False,38.2
18100-268-159,Drug_0159,3,False,582.65
20809-442-160,Drug_0160,1,True,33.22
16417-155-161,Drug_0161,1,False,10.96
99083-178-162,Drug_0162,1,False,39.25
16665-127-163,Drug_0163,1,False,22.45
21928-574-164,Drug_0164,1,False,22.28
84452-760-165,Drug_0165,1,False,38.98
62221-176-166,Drug_0166,1,False,18.33
79696-133-167,Drug_0167,1,False,18.91
66781-467-168,Drug_0168,2,False,100.17
89394-376-169,Drug_0169,2,True,45.37
67461-495-170,Drug_0170,1,False,16.24
56990-943-171,Drug_0171,1,False,11.76
74146-472-172,Drug_0172,2,False,42.39
50264-733-173,Drug_0173,3,False,799.61
41145-250-174,Drug_0174,3,False,592.0
52088-161-175,Drug_0175,1,False,17.55
25274-478-176,Drug_0176,1,False,19.3
81690-802-177,Drug_0177,1,False,20.1
33463-479-178,Drug_0178,1,False,27.16
23817-778-179,Drug_0179,2,False,141.21
32171-818-180,Drug_0180,1,False,37.65
85785-719-181,Drug_0181,1,False,18.7
39717-956-182,Drug_0182,1,False,16.52
71743-680-183,Drug_0183,2,False,84.13
87076-892-184,Drug_0184,1,False,24.88
16996-892-185,Drug_0185,3,True,496.36
78851-285-186,Drug_0186,1,False,28.06
37689-776-187,Drug_0187,3,True,565.8
29495-506-188,Drug_0188,1,False,16.23
72000-684-189,Drug_0189,3,True,409.3
91880-200-190,Drug_0190,3,True,433.94
36551-985-191,Drug_0191,4,True,1571.94
61194-323-192,Drug_0192,3,True,274.55
36084-404-193,Drug_0193,3,False,692.34
59885-355-194,Drug_0194,2,False,76.69
65966-500-195,Drug_0195,3,False,310.9
64929-239-196,Drug_0196,1,False,24.69
66118-931-197,Drug_0197,2,False,120.66
22157-394-198,Drug_0198,2,False,60.89
72417-655-199,Drug_0199,3,True,770.09
70726-603-200,Drug_0200,2,False,141.3
71432-647-201,Drug_0201,1,False,25.91
16666-775-202,Drug_0202,2,False,110.27
50215-146-203,Drug_0203,1,False,6.84
46812-491-204,Drug_0204,1,False,38.09
17803-995-205,Drug_0205,2,True,77.1
30012-397-206,Drug_0206,1,True,37.34
49686-848-207,Drug_0207,1,False,25.26
76860-793-208,Drug_0208,1,False,5.16
31335-860-209,Drug_0209,1,False,6.35
84676-517-210,Drug_0210,1,False,28.81
59121-133-211,Drug_0211,1,False,24.69
78437-963-212,Drug_0212,2,False,33.18
52529-585-213,Drug_0213,1,False,31.02
54926-174-214,Drug_0214,4,True,6950.23
65774-748-215,Drug_0215,3,True,522.31
93516-935-216,Drug_0216,2,False,85.89
54262-962-217,Drug_0217,1,False,5.19
57578-677-218,Drug_0218,2,False,124.4
64179-997-219,Drug_0219,3,False,398.04
76375-207-220,Drug_0220,2,True,135.45
16466-468-221,Drug_0221,3,False,429.8
56411-701-222,Drug_0222,2,False,97.81
53342-562-223,Drug_0223,2,False,62.44
92950-401-224,Drug_0224,1,False,10.62
54415-601-225,Drug_0225,2,False,122.99
52148-970-226,Drug_0226,1,False,22.38
96597-561-227,Drug_0227,2,False,94.38
50551-629-228,Drug_0228,3,False,874.06
26279-482-229,Drug_0229,1,False,38.73
29522-229-230,Drug_0230,2,False,132.68
18566-627-231,Drug_0231,1,False,11.57
10051-680-232,Drug_0232,2,False,101.31
48874-429-233,Drug_0233,1,False,35.74
79231-584-234,Drug_0234,4,True,3558.69
76011-737-235,Drug_0235,1,True,8.54
12893-293-236,Drug_0236,4,True,6657.84
61297-977-237,Drug_0237,3,False,511.32
23885-194-238,Drug_0238,2,False,97.73
94695-969-239,Drug_0239,3,True,886.61
25062-461-240,Drug_0240,3,False,605.41
66396-275-241,Drug_0241,4,True,3917.35
39361-455-242,Drug_0242,1,False,17.95
67739-376-243,Drug_0243,2,False,80.11
47102-360-244,Drug_0244,1,False,9.14
78367-237-245,Drug_0245,2,False,125.37
30760-324-246,Drug_0246,1,False,34.32
91520-949-247,Drug_0247,2,False,64.13
55018-240-248,Drug_0248,2,False,66.46
78047-542-249,Drug_0249,2,False,134.92
86474-423-250,Drug_0250,2,False,32.88
99893-825-251,Drug_0251,3,False,540.34
30154-752-252,Drug_0252,3,False,497.76
35820-414-253,Drug_0253,2,False,112.82
32538-713-254,Drug_0254,2,False,49.61
33658-674-255,Drug_0255,4,True,5645.15
62419-774-256,Drug_0256,1,False,18.19
99416-107-257,Drug_0257,1,False,26.66
99124-198-258,Drug_0258,1,False,6.4
57409-406-259,Drug_0259,2,False,85.41
67511-748-260,Drug_0260,1,False,23.28
87396-461-261,Drug_0261,3,False,310.74
93963-389-262,Drug_0262,2,False,46.75
28347-440-263,Drug_0263,1,False,11.6
57568-700-264,Drug_0264,3,True,408.11
84954-302-265,Drug_0265,3,False,222.61
37287-943-266,Drug_0266,1,False,38.16
49582-317-267,Drug_0267,1,False,19.17
98704-503-268,Drug_0268,1,False,33.31
98653-926-269,Drug_0269,1,False,39.1
91548-623-270,Drug_0270,1,False,7.83
81859-963-271,Drug_0271,4,True,5526.85
34221-133-272,Drug_0272,1,False,35.5
38876-672-273,Drug_0273,1,False,27.2
59254-172-274,Drug_0274,2,False,81.48
60469-256-275,Drug_0275,2,False,81.73
55494-617-276,Drug_0276,4,True,1154.88
67299-470-277,Drug_0277,3,False,550.95
46748-710-278,Drug_0278,2,False,149.23
77424-826-279,Drug_0279,1,False,38.55
40019-481-280,Drug_0280,4,True,1186.83
39760-574-281,Drug_0281,2,False,114.7
21450-486-282,Drug_0282,4,True,3042.53
26983-578-283,Drug_0283,1,False,36.6
86546-985-284,Drug_0284,3,False,183.84
50164-150-285,Drug_0285,2,False,142.3
30507-194-286,Drug_0286,1,False,34.31
78339-985-287,Drug_0287,2,False,44.1
59857-258-288,Drug_0288,2,True,37.18
11904-977-289,Drug_0289,1,False,34.21
38472-200-290,Drug_0290,2,False,48.69
25929-329-291,Drug_0291,3,True,551.17
69027-901-292,Drug_0292,1,False,37.05
34752-717-293,Drug_0293,2,False,98.09
15845-109-294,Drug_0294,1,False,18.9
14944-929-295,Drug_0295,1,False,20.58
62354-823-296,Drug_0296,3,True,197.34
11955-119-297,Drug_0297,3,True,876.56
86390-192-298,Drug_0298,1,False,15.87
23985-566-299,Drug_0299,4,False,2244.48
64590-305-300,Drug_0300,3,False,364.54
50021-706-301,Drug_0301,1,False,38.75
49856-444-302,Drug_0302,3,True,220.71
16461-506-303,Drug_0303,1,False,35.36
82246-663-304,Drug_0304,4,True,5925.69
90373-213-305,Drug_0305,2,False,129.6
10991-592-306,Drug_0306,2,False,147.11
26074-633-307,Drug_0307,1,False,34.48
91350-403-308,Drug_0308,3,False,857.54
59453-712-309,Drug_0309,1,False,9.44
23503-906-310,Drug_0310,1,False,32.85
28250-826-311,Drug_0311,1,False,24.1
69398-226-312,Drug_0312,3,True,557.62
75232-276-313,Drug_0313,1,False,36.46
63947-962-314,Drug_0314,3,False,878.85
95782-883-315,Drug_0315,2,True,114.58
54465-603-316,Drug_0316,1,False,21.9
37024-927-317,Drug_0317,1,False,20.97
52950-793-318,Drug_0318,1,False,18.52
42369-765-319,Drug_0319,2,False,73.39
30197-759-320,Drug_0320,3,True,443.63
14136-194-321,Drug_0321,1,False,8.14
41698-533-322,Drug_0322,3,False,208.08
74026-422-323,Drug_0323,1,False,32.3
11659-392-324,Drug_0324,3,False,484.55
49525-588-325,Drug_0325,3,True,848.01
67960-322-326,Drug_0326,3,True,609.17
64935-667-327,Drug_0327,2,False,34.22
79897-569-328,Drug_0328,3,False,268.14
82945-299-329,Drug_0329,1,False,12.2
74052-141-330,Drug_0330,1,False,39.15
19251-877-331,Drug_0331,1,False,12.65
52751-658-332,Drug_0332,2,False,91.89
64305-724-333,Drug_0333,2,False,142.34
32100-260-334,Drug_0334,2,False,147.26
13829-877-335,Drug_0335,3,True,327.27
30122-617-336,Drug_0336,1,False,6.72
50940-245-337,Drug_0337,2,False,48.43
47253-174-338,Drug_0338,1,False,7.22
25899-225-339,Drug_0339,1,False,11.83
84196-610-340,Drug_0340,2,False,98.23
93310-491-341,Drug_0341,4,True,7378.39
28121-647-342,Drug_0342,2,False,94.47
93660-578-343,Drug_0343,1,False,26.91
11607-372-344,Drug_0344,2,False,54.22
93245-565-345,Drug_0345,1,False,33.02
95672-557-346,Drug_0346,3,True,613.34
11084-884-347,Drug_0347,2,False,133.7
78670-743-348,Drug_0348,1,False,38.21
97317-276-349,Drug_0349,1,False,17.18
91530-309-350,Drug_0350,1,False,8.17
97362-272-351,Drug_0351,4,True,2504.1
59528-809-352,Drug_0352,2,False,82.54
17033-159-353,Drug_0353,3,False,859.27
86480-154-354,Drug_0354,2,False,75.4
65243-943-355,Drug_0355,2,False,122.49
65325-532-356,Drug_0356,1,False,23.92
47552-673-357,Drug_0357,4,True,2197.94
61465-551-358,Drug_0358,1,False,16.23
23822-695-359,Drug_0359,2,False,108.38
76578-737-360,Drug_0360,2,False,110.74
16751-731-361,Drug_0361,2,False,82.17
75679-264-362,Drug_0362,4,True,2523.38
86407-570-363,Drug_0363,1,False,30.27
52521-749-364,Drug_0364,2,False,50.26
55884-589-365,Drug_0365,1,False,37.78
38098-934-366,Drug_0366,2,True,52.55
97250-217-367,Drug_0367,1,False,8.76
75980-120-368,Drug_0368,1,False,22.42
43208-972-369,Drug_0369,1,False,23.18
25732-438-370,Drug_0370,1,False,22.79
29761-754-371,Drug_0371,1,False,20.28
51752-633-372,Drug_0372,2,False,149.38
94830-568-373,Drug_0373,2,False,88.35
76072-188-374,Drug_0374,1,False,21.73
29371-951-375,Drug_0375,1,False,19.76
87359-690-376,Drug_0376,1,False,7.34
44037-279-377,Drug_0377,2,False,101.15
86654-805-378,Drug_0378,1,False,12.98
31752-630-379,Drug_0379,1,False,27.32
65678-529-380,Drug_0380,1,False,6.78
93399-211-381,Drug_0381,2,False,147.77
33210-185-382,Drug_0382,1,False,21.42
72362-678-383,Drug_0383,2,False,137.61
98857-587-384,Drug_0384,2,False,87.07
23553-505-385,Drug_0385,2,False,37.24
17956-703-386,Drug_0386,2,False,128.67
70676-871-387,Drug_0387,2,False,107.78
40575-378-388,Drug_0388,1,False,32.36
16411-473-389,Drug_0389,3,False,471.13
52777-778-390,Drug_0390,2,False,106.55
77838-226-391,Drug_0391,1,False,34.97
35660-559-392,Drug_0392,2,True,105.73
40153-122-393,Drug_0393,1,False,17.17
86112-757-394,Drug_0394,2,False,109.5
56805-385-395,Drug_0395,2,True,110.62
85845-131-396,Drug_0396,3,False,870.44
50174-820-397,Drug_0397,3,True,428.18
95766-326-398,Drug_0398,2,False,81.01
68570-270-399,Drug_0399,2,False,127.45
20430-417-400,Drug_0400,3,True,529.32
89657-719-401,Drug_0401,1,False,30.78
54033-354-402,Drug_0402,3,True,494.78
22747-343-403,Drug_0403,2,False,55.86
23741-268-404,Drug_0404,1,False,31.08
71877-219-405,Drug_0405,1,False,9.59
14263-587-406,Drug_0406,3,False,298.94
35793-508-407,Drug_0407,1,False,26.94
22580-288-408,Drug_0408,1,False,31.15
49696-720-409,Drug_0409,1,False,36.31
47291-587-410,Drug_0410,1,False,14.54
56968-341-411,Drug_0411,1,False,8.88
35166-482-412,Drug_0412,2,False,144.73
12883-716-413,Drug_0413,1,False,10.4
65294-375-414,Drug_0414,3,True,298.25
43634-395-415,Drug_0415,3,False,368.5
68619-782-416,Drug_0416,1,False,23.53
19779-471-417,Drug_0417,1,False,35.9
11239-506-418,Drug_0418,2,False,121.27
32346-401-419,Drug_0419,1,False,29.79
51088-391-420,Drug_0420,1,False,11.13
45466-787-421,Drug_0421,4,False,3439.55
82926-105-422,Drug_0422,4,True,4296.67
44005-861-423,Drug_0423,3,False,260.57
57739-284-424,Drug_0424,1,False,14.57
63415-230-425,Drug_0425,2,False,67.0
11964-668-426,Drug_0426,2,False,45.27
56361-780-427,Drug_0427,1,False,24.26
41034-868-428,Drug_0428,2,False,114.6
47914-763-429,Drug_0429,1,False,7.45
19025-187-430,Drug_0430,1,False,21.84
80453-849-431,Drug_0431,2,False,123.87
94815-391-432,Drug_0432,1,False,31.18
12004-980-433,Drug_0433,1,False,33.53
64122-322-434,Drug_0434,3,True,486.18
78745-912-435,Drug_0435,4,True,6725.96
35632-791-436,Drug_0436,2,False,58.89
80879-551-437,Drug_0437,3,False,420.61
66911-342-438,Drug_0438,4,True,2152.12
93623-983-439,Drug_0439,1,True,21.36
98289-762-440,Drug_0440,1,False,18.72
13811-429-441,Drug_0441,1,False,13.43
50043-962-442,Drug_0442,1,False,31.31
59228-582-443,Drug_0443,3,False,385.39
23206-813-444,Drug_0444,1,False,14.55
40265-182-445,Drug_0445,2,False,45.71
98887-270-446,Drug_0446,1,False,20.36
11460-169-447,Drug_0447,1,False,15.6
50725-192-448,Drug_0448,3,True,426.95
85838-560-449,Drug_0449,1,False,13.26
39150-102-450,Drug_0450,1,False,31.71
53181-236-451,Drug_0451,1,False,37.55
98023-361-452,Drug_0452,2,False,89.75
52738-116-453,Drug_0453,2,False,107.16
21782-286-454,Drug_0454,2,False,134.06
14654-752-455,Drug_0455,1,False,39.96
95086-985-456,Drug_0456,1,False,26.47
33922-809-457,Drug_0457,3,True,817.33
55365-141-458,Drug_0458,2,False,139.03
18163-592-459,Drug_0459,2,False,124.97
48128-107-460,Drug_0460,2,False,85.31
93708-756-461,Drug_0461,3,True,210.87
55216-987-462,Drug_0462,1,False,5.55
97401-975-463,Drug_0463,1,False,21.7
33294-891-464,Drug_0464,2,False,89.32
55408-752-465,Drug_0465,1,False,19.26
87356-246-466,Drug_0466,3,False,576.13
50342-215-467,Drug_0467,2,False,96.26
35153-471-468,Drug_0468,3,False,777.46
86991-875-469,Drug_0469,3,False,231.49
45089-395-470,Drug_0470,2,False,57.02
57764-919-471,Drug_0471,3,False,744.75
97886-303-472,Drug_0472,2,False,131.74
26783-735-473,Drug_0473,3,False,896.12
37125-279-474,Drug_0474,1,False,35.55
12796-462-475,Drug_0475,2,False,136.79
45265-606-476,Drug_0476,2,False,67.72
28016-742-477,Drug_0477,1,False,19.06
71202-515-478,Drug_0478,1,False,14.38
26318-555-479,Drug_0479,3,False,604.72
70732-435-480,Drug_0480,2,False,142.66
33712-555-481,Drug_0481,1,False,17.06
41969-460-482,Drug_0482,1,False,24.5
41397-372-483,Drug_0483,1,False,15.37
74506-513-484,Drug_0484,1,False,10.94
51985-687-485,Drug_0485,3,True,296.39
42516-190-486,Drug_0486,1,False,7.03
86735-150-487,Drug_0487,1,False,38.23
61474-338-488,Drug_0488,2,False,78.35
29244-137-489,Drug_0489,1,False,34.19
91007-485-490,Drug_0490,1,False,28.85
40838-766-491,Drug_0491,2,False,53.03
13508-607-492,Drug_0492,2,False,51.06
54513-597-493,Drug_0493,4,False,6665.12
21154-956-494,Drug_0494,2,False,61.77
31461-709-495,Drug_0495,2,True,139.59
77239-409-496,Drug_0496,3,True,255.04
21767-366-497,Drug_0497,3,False,658.28
82624-914-498,Drug_0498,2,False,127.74
94320-303-499,Drug_0499,4,True,2570.32
64587-235-500,Drug_0500,3,False,357.16
